Category,Language,Version,FileName,DirectLink
"OFFICE","Chinese - Simplified","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_ChnSimp_MLF_X19-35806.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_ChnSimp_MLF_X19-35806.ISO?"
"OFFICE","Chinese - Simplified","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_ChnSimp_MLF_X19-35745.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_ChnSimp_MLF_X19-35745.ISO?"
"OFFICE","Chinese - Traditional","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_ChnTrad_MLF_X19-35808.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_ChnTrad_MLF_X19-35808.ISO?"
"OFFICE","Chinese - Traditional","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_ChnTrad_MLF_X19-35746.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_ChnTrad_MLF_X19-35746.ISO?"
"OFFICE","Czech","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Czech_MLF_X19-35810.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Czech_MLF_X19-35810.ISO?"
"OFFICE","Czech","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Czech_MLF_X19-35747.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Czech_MLF_X19-35747.ISO?"
"OFFICE","Danish","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Danish_MLF_X19-35812.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Danish_MLF_X19-35812.ISO?"
"OFFICE","Danish","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Danish_MLF_X19-35748.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Danish_MLF_X19-35748.ISO?"
"OFFICE","Dutch","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Dutch_MLF_X19-35814.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Dutch_MLF_X19-35814.ISO?"
"OFFICE","Dutch","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Dutch_MLF_X19-35749.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Dutch_MLF_X19-35749.ISO?"
"OFFICE","English","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_English_MLF_X19-35816.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_English_MLF_X19-35816.ISO?"
"OFFICE","English","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_English_MLF_X19-35750.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_English_MLF_X19-35750.ISO?"
"OFFICE","Finnish","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Finnish_MLF_X19-35818.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Finnish_MLF_X19-35818.ISO?"
"OFFICE","Finnish","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Finnish_MLF_X19-35751.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Finnish_MLF_X19-35751.ISO?"
"OFFICE","French","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_French_MLF_X19-35820.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_French_MLF_X19-35820.ISO?"
"OFFICE","French","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_French_MLF_X19-35752.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_French_MLF_X19-35752.ISO?"
"OFFICE","German","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_German_MLF_X19-35822.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_German_MLF_X19-35822.ISO?"
"OFFICE","German","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_German_MLF_X19-35753.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_German_MLF_X19-35753.ISO?"
"OFFICE","Greek","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Greek_MLF_X19-35824.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Greek_MLF_X19-35824.ISO?"
"OFFICE","Greek","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Greek_MLF_X19-35754.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Greek_MLF_X19-35754.ISO?"
"OFFICE","Hebrew","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Hebrew_MLF_X19-35826.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Hebrew_MLF_X19-35826.ISO?"
"OFFICE","Hebrew","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Hebrew_MLF_X19-35755.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Hebrew_MLF_X19-35755.ISO?"
"OFFICE","Hungarian","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Hungarian_MLF_X19-35828.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Hungarian_MLF_X19-35828.ISO?"
"OFFICE","Hungarian","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Hungarian_MLF_X19-35756.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Hungarian_MLF_X19-35756.ISO?"
"OFFICE","Italian","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Italian_MLF_X19-35830.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Italian_MLF_X19-35830.ISO?"
"OFFICE","Italian","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Italian_MLF_X19-35757.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Italian_MLF_X19-35757.ISO?"
"OFFICE","Japanese","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Japanese_MLF_X19-35833.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Japanese_MLF_X19-35833.ISO?"
"OFFICE","Japanese","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Japanese_MLF_X19-35758.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Japanese_MLF_X19-35758.ISO?"
"OFFICE","Korean","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Korean_MLF_X19-35835.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Korean_MLF_X19-35835.ISO?"
"OFFICE","Korean","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Korean_MLF_X19-35759.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Korean_MLF_X19-35759.ISO?"
"OFFICE","Norwegian","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Norwegian_MLF_X19-35837.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Norwegian_MLF_X19-35837.ISO?"
"OFFICE","Norwegian","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Norwegian_MLF_X19-35760.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Norwegian_MLF_X19-35760.ISO?"
"OFFICE","Polish","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Polish_MLF_X19-35839.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Polish_MLF_X19-35839.ISO?"
"OFFICE","Polish","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Polish_MLF_X19-35761.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Polish_MLF_X19-35761.ISO?"
"OFFICE","Portuguese - Brazil","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Brazilian_MLF_X19-35804.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Brazilian_MLF_X19-35804.ISO?"
"OFFICE","Portuguese - Brazil","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Brazilian_MLF_X19-35744.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Brazilian_MLF_X19-35744.ISO?"
"OFFICE","Portuguese - Portugal","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Portuguese_MLF_X19-35841.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Portuguese_MLF_X19-35841.ISO?"
"OFFICE","Portuguese - Portugal","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Portuguese_MLF_X19-35762.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Portuguese_MLF_X19-35762.ISO?"
"OFFICE","Romanian","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Romanian_MLF_X19-35843.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Romanian_MLF_X19-35843.ISO?"
"OFFICE","Romanian","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Romanian_MLF_X19-35763.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Romanian_MLF_X19-35763.ISO?"
"OFFICE","Russian","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Russian_MLF_X19-35845.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Russian_MLF_X19-35845.ISO?"
"OFFICE","Russian","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Russian_MLF_X19-35764.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Russian_MLF_X19-35764.ISO?"
"OFFICE","Slovak","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Slovak_MLF_X19-35847.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Slovak_MLF_X19-35847.ISO?"
"OFFICE","Slovak","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Slovak_MLF_X19-35765.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Slovak_MLF_X19-35765.ISO?"
